utterance,Utterance Token,RNN Sentiment
"my user account was hacked , andI need help recovering it","['user', 'account', 'hack', 'andi', 'need', 'help', 'recov']",Positive
"someone stole my password, what should I do to retrieve it?","['someon', 'stole', 'password', 'retriev']",Neutral
"someone stole my password, what do I have to do to retrieve it?","['someon', 'stole', 'password', 'retriev']",Neutral
"I forgot my account password , reset it","['forgot', 'account', 'password', 'reset']",Positive
"my account's been hacked, what do i have to do to get it back?","['account', 'hack', 'get', 'back']",Neutral
can I reset my password?,"['reset', 'password']",Positive
"I lost my account password, can you retrieve it?","['lost', 'account', 'password', 'retriev']",Negative
someone stole my account password and I want to recover it,"['someon', 'stole', 'account', 'password', 'want', 'recov']",Neutral
"i lost my password, how can i retrieve it?","['lost', 'password', 'retriev']",Negative
I need help resetting my account password,"['need', 'help', 'reset', 'account', 'password']",Positive
someone stole my password,"['someon', 'stole', 'password']",Neutral
"my user account's been hacked, what should I do to recover it?","['user', 'account', 'hack', 'recov']",Positive
"my online account was hacked, what can I do to recover it?","['onlin', 'account', 'hack', 'recov']",Positive
"could u ask an agent if i can retrieve my password, please?","['could', 'u', 'ask', 'agent', 'retriev', 'password', 'pleas']",Positive
someone stole my account password,"['someon', 'stole', 'account', 'password']",Neutral
"someone stole my password, what can I do to retrieve it?","['someon', 'stole', 'password', 'retriev']",Neutral
"my online account was hacked, get it back","['onlin', 'account', 'hack', 'get', 'back']",Neutral
"i lost my account password , can i retrieve it?","['lost', 'account', 'password', 'retriev']",Negative
"I forgot my password, how can I recover it?","['forgot', 'password', 'recov']",Positive
"my online account sas hacked, what can I do to get it back?","['onlin', 'account', 'sa', 'hack', 'get', 'back']",Negative
"my online account was hacked, how can I recover it?","['onlin', 'account', 'hack', 'recov']",Positive
"my user account's been hacked, how do I recover it?","['user', 'account', 'hack', 'recov']",Positive
"I forgot ym password, how can I reset it?","['forgot', 'ym', 'password', 'reset']",Positive
"I lost my password, reset it","['lost', 'password', 'reset']",Negative
"someone stole my account password, what can I do to recover it?","['someon', 'stole', 'account', 'password', 'recov']",Neutral
"I lost my password, I need hlp recovering it","['lost', 'password', 'need', 'hlp', 'recov']",Positive
"please, could u ask an agent how i can recover my password?","['pleas', 'could', 'u', 'ask', 'agent', 'recov', 'password']",Positive
"someone sxtole my account password, I need help recovering it","['someon', 'sxtole', 'account', 'password', 'need', 'help', 'recov']",Neutral
can I reset my account password?,"['reset', 'account', 'password']",Positive
"i forgot my account password, can i reset it?","['forgot', 'account', 'password', 'reset']",Positive
my fucking online account's been hacked and I'd like to get it back,"['fuck', 'onlin', 'account', 'hack', 'like', 'get', 'back']",Negative
"I can't remember my account password, I need help resetting it","['ca', 'rememb', 'account', 'password', 'need', 'help', 'reset']",Neutral
id like to retrieve my password,"['id', 'like', 'retriev', 'password']",Negative
"I lost my account password, can I recover it?","['lost', 'account', 'password', 'recov']",Negative
"please, could you ask an agent to reset my password?","['pleas', 'could', 'ask', 'agent', 'reset', 'password']",Positive
ask an agent to recover my password,"['ask', 'agent', 'recov', 'password']",Positive
I want ot recover my account password,"['want', 'ot', 'recov', 'account', 'password']",Neutral
"my account was hacked, what can I do?","['account', 'hack']",Positive
"I fborgot my password, can you recover it?","['fborgot', 'password', 'recov']",Positive
"i cant ermember my password, what should i do?","['cant', 'ermemb', 'password']",Positive
"can u ask an agent if i can reset my password, pleasse?","['u', 'ask', 'agent', 'reset', 'password', 'pleass']",Positive
"I can't remember my account password, retrieve it","['ca', 'rememb', 'account', 'password', 'retriev']",Positive
i cant remember my password and i want to reset it,"['cant', 'rememb', 'password', 'want', 'reset']",Positive
ask an agent if i could rtetrieve my password,"['ask', 'agent', 'could', 'rtetriev', 'password']",Positive
my account's been hacked and I want to get it back,"['account', 'hack', 'want', 'get', 'back']",Neutral
"my online account was hacked , what do I have to do to get it back?","['onlin', 'account', 'hack', 'get', 'back']",Neutral
ask an agent how to reset my account password,"['ask', 'agent', 'reset', 'account', 'password']",Positive
my online account's been hacked and I want to recover it,"['onlin', 'account', 'hack', 'want', 'recov']",Negative
"my profile's been hacked, what should I do to get it back?","['profil', 'hack', 'get', 'back']",Neutral
"my profile's been hacked, can I get it back?","['profil', 'hack', 'get', 'back']",Neutral
help me recover my account password,"['help', 'recov', 'account', 'password']",Negative
"I lost my password, I need helpresetting it","['lost', 'password', 'need', 'helpreset']",Positive
"I forgot my password , what should I do to retrieve it?","['forgot', 'password', 'retriev']",Positive
"someonestole my account password, i need help resetting it","['someonestol', 'account', 'password', 'need', 'help', 'reset']",Positive
"my online account's been hacked, can you get  it back?","['onlin', 'account', 'hack', 'get', 'back']",Neutral
"my profile's been hacked, how can I get it back?","['profil', 'hack', 'get', 'back']",Neutral
"my user account was hacked, what do i have to do?","['user', 'account', 'hack']",Positive
"my online account's been hacked, how do i get it back?","['onlin', 'account', 'hack', 'get', 'back']",Neutral
"I can't remember my password, what should I do to recover it?","['ca', 'rememb', 'password', 'recov']",Positive
"i lost my account password, could i retrieve it?","['lost', 'account', 'password', 'could', 'retriev']",Negative
"ask an agent if i could reset y account password, please","['ask', 'agent', 'could', 'reset', 'account', 'password', 'pleas']",Positive
"my online account's been hacked, how do I get it back?","['onlin', 'account', 'hack', 'get', 'back']",Neutral
"I can't remember my password, can you resset it ?","['ca', 'rememb', 'password', 'resset']",Positive
"I can't remember my password, what do I have to do to recover it?","['ca', 'rememb', 'password', 'recov']",Positive
"someone stole my account password, what should I do to retrieve it?","['someon', 'stole', 'account', 'password', 'retriev']",Neutral
"i cant remember my account password, what do i have to do to retrieve it?","['cant', 'rememb', 'account', 'password', 'retriev']",Positive
I can't remember my password and I want to reset it,"['ca', 'rememb', 'password', 'want', 'reset']",Neutral
"someone stole my password, what do I have to do  to recover it ?","['someon', 'stole', 'password', 'recov']",Neutral
my profile's been hacked and i want to get it back,"['profil', 'hack', 'want', 'get', 'back']",Neutral
I need help recovering my account password,"['need', 'help', 'recov', 'account', 'password']",Positive
"my account's been hacked, how can i recover it?","['account', 'hack', 'recov']",Positive
"my online accouint was hacked, what should I do?","['onlin', 'accouint', 'hack']",Positive
"someone stole my account password, help me reset it","['someon', 'stole', 'account', 'password', 'help', 'reset']",Neutral
I found problems when trying to sign up,"['found', 'problem', 'tri', 'sign']",Positive
I fonud an issue signing up,"['fonud', 'issu', 'sign']",Negative
I found problems when trying to open a account,"['found', 'problem', 'tri', 'open', 'account']",Positive
I found an issue while signing up,"['found', 'issu', 'sign']",Neutral
I had regiwtration problems,"['regiwtr', 'problem']",Positive
I found a problem while creating a profile,"['found', 'problem', 'creat', 'profil']",Positive
I had issues opening an account,"['issu', 'open', 'account']",Negative
I found an issue while registering,"['found', 'issu', 'regist']",Neutral
I'm having issues signing up,"['issu', 'sign']",Negative
I had issues when trying to sign up,"['issu', 'tri', 'sign']",Positive
I had an issue when trying to sign up,"['issu', 'tri', 'sign']",Positive
There's an issue with the registration,"['issu', 'registr']",Negative
I had issues creating a profile,"['issu', 'creat', 'profil']",Positive
I had problems when trying to create an account,"['problem', 'tri', 'creat', 'account']",Positive
I found an issue when trying to open an account,"['found', 'issu', 'tri', 'open', 'account']",Negative
I have issues registering,"['issu', 'regist']",Negative
I had problems when trying to open an account,"['problem', 'tri', 'open', 'account']",Negative
I  found an issue opening an account,"['found', 'issu', 'open', 'account']",Positive
I had an issue while creating an account,"['issu', 'creat', 'account']",Positive
I'm having an issue with the registration,"['issu', 'registr']",Negative
I'm having problems when trying to sign up,"['problem', 'tri', 'sign']",Positive
I have a problem registering,"['problem', 'regist']",Positive
I'm having an issue when trying to create an account,"['issu', 'tri', 'creat', 'account']",Positive
I have an issue registering,"['issu', 'regist']",Negative
I have problems registering,"['problem', 'regist']",Positive
I'm having a problem when trying to register,"['problem', 'tri', 'regist']",Positive
I found a problem opening an account,"['found', 'problem', 'open', 'account']",Positive
There are some issues with the registration,"['issu', 'registr']",Negative
I found problems when trying to create a profile,"['found', 'problem', 'tri', 'creat', 'profil']",Positive
I found an issue registering,"['found', 'issu', 'regist']",Neutral
I'm having an issaue opening an account,"['issau', 'open', 'account']",Neutral
I had a problem creating an account,"['problem', 'creat', 'account']",Positive
I had problems while creating a profile,"['problem', 'creat', 'profil']",Positive
I'mhaving problems creating a profile,"['problem', 'creat', 'profil']",Positive
I had issues while signing up,"['issu', 'sign']",Negative
I found a problem while opening an account,"['found', 'problem', 'open', 'account']",Positive
I'm having issues creating a profile,"['issu', 'creat', 'profil']",Positive
I found issues while opening an account,"['found', 'issu', 'open', 'account']",Positive
I found problems while creating a profile,"['found', 'problem', 'creat', 'profil']",Positive
I have problems opening an account,"['problem', 'open', 'account']",Positive
I had a problem whlie creating a profile,"['problem', 'whlie', 'creat', 'profil']",Positive
I had a problem while signing up,"['problem', 'sign']",Positive
I have issues signing up,"['issu', 'sign']",Negative
I had an issue when trying to create an account,"['issu', 'tri', 'creat', 'account']",Positive
I had an issue while opening an account,"['issu', 'open', 'account']",Negative
I found problems signing up,"['found', 'problem', 'sign']",Neutral
I had issues while creatinga profile,"['issu', 'creatinga', 'profil']",Negative
I had a problem while creating an account,"['problem', 'creat', 'account']",Positive
I'm having an issue creating a profile,"['issu', 'creat', 'profil']",Positive
I'm having a problem when trying to create a profile,"['problem', 'tri', 'creat', 'profil']",Neutral
I found problems creating a profile,"['found', 'problem', 'creat', 'profil']",Positive
I had an issue while registering,"['issu', 'regist']",Negative
I found a problem when trying to create a profile,"['found', 'problem', 'tri', 'creat', 'profil']",Positive
I had a problem creating a profile,"['problem', 'creat', 'profil']",Positive
I found an issue while opening an account,"['found', 'issu', 'open', 'account']",Positive
I'm having issues when trying to create a profile,"['issu', 'tri', 'creat', 'profil']",Positive
I'm trying to regiter but I can't,"['tri', 'regit', 'ca']",Positive
I have registration problems,"['registr', 'problem']",Positive
I'm having issues when trying to open an account,"['issu', 'tri', 'open', 'account']",Negative
I can't sign up,"['ca', 'sign']",Positive
I have a problem signing up,"['problem', 'sign']",Positive
I have problems creating an account,"['problem', 'creat', 'account']",Positive
Ifound an issue creating an account,"['ifound', 'issu', 'creat', 'account']",Positive
I found problems registering,"['found', 'problem', 'regist']",Neutral
There is a problem with the reggistration,"['problem', 'reggistr']",Positive
I have an issue creating an account,"['issu', 'creat', 'account']",Positive
I had problems creating an account,"['problem', 'creat', 'account']",Positive
I'm having a problem when trying to create an account,"['problem', 'tri', 'creat', 'account']",Positive
I had registration issues,"['registr', 'issu']",Negative
I had an issue when trying to register,"['issu', 'tri', 'regist']",Positive
I had an issue while creating a profile,"['issu', 'creat', 'profil']",Positive
I'm having issuea when trying to sign up,"['issuea', 'tri', 'sign']",Positive
I' trying to open an account but I can't,"['tri', 'open', 'account', 'ca']",Negative
I had az problem with the registration,"['az', 'problem', 'registr']",Positive
I had problems registering,"['problem', 'regist']",Positive
registration issue,"['registr', 'issu']",Negative
I'm having reigstration issues,"['reigstrat', 'issu']",Negative
registration issues,"['registr', 'issu']",Negative
I'm having issues creating a acount,"['issu', 'creat', 'acount']",Positive
I found issues while registering,"['found', 'issu', 'regist']",Neutral
registration problem,"['registr', 'problem']",Positive
I have some problems with thge registration,"['problem', 'thge', 'registr']",Positive
I found problems while creating an account,"['found', 'problem', 'creat', 'account']",Positive
I had a problem while registering,"['problem', 'regist']",Positive
I had an problem registeringb,"['problem', 'registeringb']",Positive
I had problems creating a profile,"['problem', 'creat', 'profil']",Positive
I found a problem while creating an account,"['found', 'problem', 'creat', 'account']",Positive
I foundproblems when triyng to register,"['foundproblem', 'triyng', 'regist']",Positive
I had an isue when trying to open an account,"['isu', 'tri', 'open', 'account']",Positive
I found a problem while registering,"['found', 'problem', 'regist']",Neutral
I'm having a problem opening an account,"['problem', 'open', 'account']",Positive
I found an issue while creating an account,"['found', 'issu', 'creat', 'account']",Positive
I found issus registering,"['found', 'issu', 'regist']",Neutral
I found an issue when trying to sign up,"['found', 'issu', 'tri', 'sign']",Positive
I had problems while poening an account,"['problem', 'poen', 'account']",Positive
I found problems while registering,"['found', 'problem', 'regist']",Neutral
I had issues while registering,"['issu', 'regist']",Negative
I'm having problems creating an account,"['problem', 'creat', 'account']",Positive
I can't register,"['ca', 'regist']",Positive
I found problems while opening an account,"['found', 'problem', 'open', 'account']",Positive
I found iwsues while creating an account,"['found', 'iwsu', 'creat', 'account']",Positive
I had issues when trying to create a profile,"['issu', 'tri', 'creat', 'profil']",Positive
I had an issue opening an account,"['issu', 'open', 'account']",Negative
I have a problem opening an account,"['problem', 'open', 'account']",Positive
I have problems creating a profile,"['problem', 'creat', 'profil']",Positive
I had problems when trying to create a profile,"['problem', 'tri', 'creat', 'profil']",Neutral
I had a problem while opening an account,"['problem', 'open', 'account']",Positive
I'm having a problem signing up,"['problem', 'sign']",Positive
I found a problem registering,"['found', 'problem', 'regist']",Neutral
I'm having some problems with the registration,"['problem', 'registr']",Positive
I'm having a problem registering,"['problem', 'regist']",Positive
I had a issue creating a profile,"['issu', 'creat', 'profil']",Positive
I'm having problems signing u,"['problem', 'sign', 'u']",Positive
I'm having problems when trying to createan account,"['problem', 'tri', 'createan', 'account']",Positive
I have an issue with the registration,"['issu', 'registr']",Negative
I found a problem when trying to create an account,"['found', 'problem', 'tri', 'creat', 'account']",Positive
I found a problem signing up,"['found', 'problem', 'sign']",Neutral
I found issues when trying to sign up,"['found', 'issu', 'tri', 'sign']",Positive
I had a problem when trying to create a profile,"['problem', 'tri', 'creat', 'profil']",Neutral
I had an issue with the registration,"['issu', 'registr']",Negative
I found an issue when trying to register,"['found', 'issu', 'tri', 'regist']",Positive
I had issues creating an account,"['issu', 'creat', 'account']",Positive
I had an issue when trying to create a profile,"['issu', 'tri', 'creat', 'profil']",Positive
I found issues signing up,"['found', 'issu', 'sign']",Neutral
I found issues while creating a profile,"['found', 'issu', 'creat', 'profil']",Positive
I found issues when trying to create a profile,"['found', 'issu', 'tri', 'creat', 'profil']",Positive
I found an issue while creating a profile,"['found', 'issu', 'creat', 'profil']",Positive
I found a problem when trying to sign up,"['found', 'problem', 'tri', 'sign']",Positive
I have issues opening an account,"['issu', 'open', 'account']",Negative
I can't create a profile,"['ca', 'creat', 'profil']",Positive
"I would like to use my other online account , could you switch them, please?","['would', 'like', 'use', 'onlin', 'account', 'could', 'switch', 'pleas']",Negative
"i want to use my other online account, can u change them?","['want', 'use', 'onlin', 'account', 'u', 'chang']",Negative
how do i change to another account?,"['chang', 'anoth', 'account']",Negative
"I want to use my other profile, how can I change them?","['want', 'use', 'profil', 'chang']",Neutral
"I want to use my other user account, change them","['want', 'use', 'user', 'account', 'chang']",Neutral
"i want to use my other user account, switch them","['want', 'use', 'user', 'account', 'switch']",Positive
can i change to another user account?,"['chang', 'anoth', 'user', 'account']",Negative
where do i change to another profile?,"['chang', 'anoth', 'profil']",Negative
"I want to use my other user account, help me change them","['want', 'use', 'user', 'account', 'help', 'chang']",Neutral
"help mew switch to another online account, please","['help', 'mew', 'switch', 'anoth', 'onlin', 'account', 'pleas']",Positive
"I want to use my other profile, switch them","['want', 'use', 'profil', 'switch']",Positive
"I want to use my other online account, what can I do to change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
"please, could you ask an agent how I can switch to another fucking online account?","['pleas', 'could', 'ask', 'agent', 'switch', 'anoth', 'fuck', 'onlin', 'account']",Positive
"please, couldyou ask an agent to switch to another fucking profile?","['pleas', 'couldyou', 'ask', 'agent', 'switch', 'anoth', 'fuck', 'profil']",Positive
"I want to use my other profile, can you switch them?","['want', 'use', 'profil', 'switch']",Positive
how can I change to another profile?,"['chang', 'anoth', 'profil']",Negative
"I want to use mmy other user account, how do I change them?","['want', 'use', 'mmi', 'user', 'account', 'chang']",Neutral
"I want to use my other account, how can I change them?","['want', 'use', 'account', 'chang']",Neutral
"I want to use my other user account, what can I do to switch them?","['want', 'use', 'user', 'account', 'switch']",Positive
how to change to another account,"['chang', 'anoth', 'account']",Negative
"I want to use my other profile, how do I change them?","['want', 'use', 'profil', 'chang']",Neutral
"i wanna use my other profile, can u change them, please?","['wan', 'na', 'use', 'profil', 'u', 'chang', 'pleas']",Positive
ask an agent if I could switch to another account,"['ask', 'agent', 'could', 'switch', 'anoth', 'account']",Positive
how do i change to another profile?,"['chang', 'anoth', 'profil']",Negative
how can I change to another user account?,"['chang', 'anoth', 'user', 'account']",Negative
"ask an agent to change to another fucking user account, please","['ask', 'agent', 'chang', 'anoth', 'fuck', 'user', 'account', 'pleas']",Positive
"I want to use my other user account, switch them","['want', 'use', 'user', 'account', 'switch']",Positive
"i want to use my other account, can u switch them?","['want', 'use', 'account', 'u', 'switch']",Neutral
could you ask an agent if I could change to another user account ?,"['could', 'ask', 'agent', 'could', 'chang', 'anoth', 'user', 'account']",Positive
ask an agent how to change to another account,"['ask', 'agent', 'chang', 'anoth', 'account']",Positive
"I want to use my other user account, I need help changing them","['want', 'use', 'user', 'account', 'need', 'help', 'chang']",Neutral
where can I change to another online account?,"['chang', 'anoth', 'onlin', 'account']",Positive
where to switch to another online account,"['switch', 'anoth', 'onlin', 'account']",Positive
"I want to use my other account, I need help switching them","['want', 'use', 'account', 'need', 'help', 'switch']",Neutral
where can I switch to another profile?,"['switch', 'anoth', 'profil']",Negative
where do I change to another online account?,"['chang', 'anoth', 'onlin', 'account']",Positive
where to switch to another profile,"['switch', 'anoth', 'profil']",Negative
I want to change to another online accdount,"['want', 'chang', 'anoth', 'onlin', 'accdount']",Negative
"I want to use my other user account, what should I do to change them?","['want', 'use', 'user', 'account', 'chang']",Neutral
I need help changing to another account,"['need', 'help', 'chang', 'anoth', 'account']",Negative
where do I switch to another account?,"['switch', 'anoth', 'account']",Positive
"I want to use my other account, what do I have to do to switch them?","['want', 'use', 'account', 'switch']",Positive
I need help switching to another online account,"['need', 'help', 'switch', 'anoth', 'onlin', 'account']",Positive
ask an agent how to switch to another account,"['ask', 'agent', 'switch', 'anoth', 'account']",Positive
how to change to another user account,"['chang', 'anoth', 'user', 'account']",Negative
"could you ask an agent to change to another fucking online account, please?","['could', 'ask', 'agent', 'chang', 'anoth', 'fuck', 'onlin', 'account', 'pleas']",Positive
"i wanna use my other account, what should i do to change them?","['wan', 'na', 'use', 'account', 'chang']",Positive
can I change to another profile?,"['chang', 'anoth', 'profil']",Negative
"I want to use my other online account, what do I have to do to change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
"I want to use my other user account, I need help switching them","['want', 'use', 'user', 'account', 'need', 'help', 'switch']",Neutral
how can I switch to another online account?,"['switch', 'anoth', 'onlin', 'account']",Positive
"I want to use my other profile, what should I do to change them?","['want', 'use', 'profil', 'chang']",Neutral
"I want to use my other account, I need help changing them","['want', 'use', 'account', 'need', 'help', 'chang']",Neutral
how can i switch to another profile?,"['switch', 'anoth', 'profil']",Negative
"I weant to use my other  account, switch them","['weant', 'use', 'account', 'switch']",Positive
ask an agent if i can change to another user account,"['ask', 'agent', 'chang', 'anoth', 'user', 'account']",Positive
where to change to another profile,"['chang', 'anoth', 'profil']",Negative
"can u ask an agent if i could switch to aqnother account, please?","['u', 'ask', 'agent', 'could', 'switch', 'aqnoth', 'account', 'pleas']",Positive
"i wanna use my other profile, i need help changing them","['wan', 'na', 'use', 'profil', 'need', 'help', 'chang']",Positive
I need help changing to another user account,"['need', 'help', 'chang', 'anoth', 'user', 'account']",Negative
"i want to use my other online account, how do i switch them?","['want', 'use', 'onlin', 'account', 'switch']",Negative
where to change to another online account,"['chang', 'anoth', 'onlin', 'account']",Positive
i wanna change to another cacount,"['wan', 'na', 'chang', 'anoth', 'cacount']",Positive
ask an agent if i can change to another online account,"['ask', 'agent', 'chang', 'anoth', 'onlin', 'account']",Positive
"i want to use my other user account, help me change them","['want', 'use', 'user', 'account', 'help', 'chang']",Neutral
"I want to use my other online account, can I change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
"i want to use my other profile, can u change them?","['want', 'use', 'profil', 'u', 'chang']",Neutral
I want to switch to another account,"['want', 'switch', 'anoth', 'account']",Neutral
how to change to another rpofile,"['chang', 'anoth', 'rpofil']",Negative
"I want to use my other user account, can I switch them?","['want', 'use', 'user', 'account', 'switch']",Positive
"I want to use my other user account, how can I switch them?","['want', 'use', 'user', 'account', 'switch']",Positive
where to switch to another account,"['switch', 'anoth', 'account']",Positive
ask an agent to change to another profile,"['ask', 'agent', 'chang', 'anoth', 'profil']",Positive
"I would like to use my other profile, can you change them, please?","['would', 'like', 'use', 'profil', 'chang', 'pleas']",Negative
can u ask an agent how to change to another profile?,"['u', 'ask', 'agent', 'chang', 'anoth', 'profil']",Positive
"iwant to use my other account, can u change them?","['iwant', 'use', 'account', 'u', 'chang']",Positive
where can I switch to another account?,"['switch', 'anoth', 'account']",Positive
"I would like to use my other fucking online account, can you switch them, lpease?","['would', 'like', 'use', 'fuck', 'onlin', 'account', 'switch', 'lpeas']",Negative
where do I switch to another user account?,"['switch', 'anoth', 'user', 'account']",Positive
"I want to use my other profile, what do I have to do to change them?","['want', 'use', 'profil', 'chang']",Neutral
"i wanna use my other account, what do i have to do to switch them?","['wan', 'na', 'use', 'account', 'switch']",Positive
"I want to use my other online account, can you change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
can I switch to another user account?,"['switch', 'anoth', 'user', 'account']",Positive
I want to switch to another user account,"['want', 'switch', 'anoth', 'user', 'account']",Neutral
where can I change to another profile?,"['chang', 'anoth', 'profil']",Negative
"I want to use my other account, what do I have to do to change them?","['want', 'use', 'account', 'chang']",Neutral
"I'd like to use my other fucking account, switch thme","['like', 'use', 'fuck', 'account', 'switch', 'thme']",Negative
where can I change yo anothyer account?,"['chang', 'yo', 'anothy', 'account']",Positive
"I would like to use my other profile, what should I do to switch them?","['would', 'like', 'use', 'profil', 'switch']",Negative
can u ask an agent how to switch to another profile?,"['u', 'ask', 'agent', 'switch', 'anoth', 'profil']",Positive
"I want to use my other account, what can I do to switch them?","['want', 'use', 'account', 'switch']",Positive
"I want to use my other user account, what can I do to change them?","['want', 'use', 'user', 'account', 'chang']",Neutral
"I want to use my other online account, help me switch them","['want', 'use', 'onlin', 'account', 'help', 'switch']",Negative
"I want to use my other user account, can I change them?","['want', 'use', 'user', 'account', 'chang']",Neutral
"ask an agent how I could change to another user account, please","['ask', 'agent', 'could', 'chang', 'anoth', 'user', 'account', 'pleas']",Positive
"I want to use my other profile, can you change them?","['want', 'use', 'profil', 'chang']",Neutral
"I want to use my other account, change them","['want', 'use', 'account', 'chang']",Neutral
how can I switch to another account?,"['switch', 'anoth', 'account']",Positive
can I change to another online account?,"['chang', 'anoth', 'onlin', 'account']",Positive
"i wanna use my other online account, how do i switch them?","['wan', 'na', 'use', 'onlin', 'account', 'switch']",Positive
I want to use my other online account,"['want', 'use', 'onlin', 'account']",Positive
"I want to use my other online account, how do I change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
"ask an agent if I could change to another account, please","['ask', 'agent', 'could', 'chang', 'anoth', 'account', 'pleas']",Positive
"I want to use my other online account, what can I do to switch them?","['want', 'use', 'onlin', 'account', 'switch']",Negative
how do i switch to another online account?,"['switch', 'anoth', 'onlin', 'account']",Positive
I need help changing to another profile,"['need', 'help', 'chang', 'anoth', 'profil']",Negative
where do I change to another profile?,"['chang', 'anoth', 'profil']",Negative
help me switch to another account,"['help', 'switch', 'anoth', 'account']",Negative
can I change to another account?,"['chang', 'anoth', 'account']",Negative
"i wanna use my other online account, switch them","['wan', 'na', 'use', 'onlin', 'account', 'switch']",Positive
how can I switch to another profile?,"['switch', 'anoth', 'profil']",Negative
"I want to use my other user account, can you change them?","['want', 'use', 'user', 'account', 'chang']",Neutral
ask an agent if i could change to another profile,"['ask', 'agent', 'could', 'chang', 'anoth', 'profil']",Positive
"I want to use my other online account, change them","['want', 'use', 'onlin', 'account', 'chang']",Positive
"I want to use my other online account, how can I change them?","['want', 'use', 'onlin', 'account', 'chang']",Positive
"I want to use my other online account, what should I do to switch them?","['want', 'use', 'onlin', 'account', 'switch']",Negative
"I want to use my other account, help me change them","['want', 'use', 'account', 'help', 'chang']",Neutral
"I want to use my other account, what should I do to change thme?","['want', 'use', 'account', 'chang', 'thme']",Neutral
I want to switch to another profile,"['want', 'switch', 'anoth', 'profil']",Neutral
"I want to use my other account, could I change them?","['want', 'use', 'account', 'could', 'chang']",Neutral
"i wanna use my other online account, what should i do to switch them?","['wan', 'na', 'use', 'onlin', 'account', 'switch']",Positive
I need help changing to another online account,"['need', 'help', 'chang', 'anoth', 'onlin', 'account']",Positive
"I want to use my other online account, how do I switch them?","['want', 'use', 'onlin', 'account', 'switch']",Negative
"i want to use my other user account, i need help changing them","['want', 'use', 'user', 'account', 'need', 'help', 'chang']",Neutral
help me change to another account,"['help', 'chang', 'anoth', 'account']",Negative
"I want to use my other online account, I neerd help changing them","['want', 'use', 'onlin', 'account', 'neerd', 'help', 'chang']",Negative
"i wanna use my other online account, change them","['wan', 'na', 'use', 'onlin', 'account', 'chang']",Positive
"I want to use my other account, how can I switch them?","['want', 'use', 'account', 'switch']",Positive
"please, can u ask an agent if i can switch to another online account?","['pleas', 'u', 'ask', 'agent', 'switch', 'anoth', 'onlin', 'account']",Positive
"i want to use my other profile, change them, please","['want', 'use', 'profil', 'chang', 'pleas']",Neutral
where can I switch to another user account?,"['switch', 'anoth', 'user', 'account']",Positive
"i want to use my other online account, switch them","['want', 'use', 'onlin', 'account', 'switch']",Negative
i need help switching to another user account,"['need', 'help', 'switch', 'anoth', 'user', 'account']",Negative
i wanna change to another online account,"['wan', 'na', 'chang', 'anoth', 'onlin', 'account']",Positive
where to change to anpther account,"['chang', 'anpther', 'account']",Positive
could u ask an agent how to switch to another online account?,"['could', 'u', 'ask', 'agent', 'switch', 'anoth', 'onlin', 'account']",Positive
could u ask an agent how to switch to another profile?,"['could', 'u', 'ask', 'agent', 'switch', 'anoth', 'profil']",Positive
"please, can u ask an agent how to switch to another profile?","['pleas', 'u', 'ask', 'agent', 'switch', 'anoth', 'profil']",Positive
where can I change to another user account?,"['chang', 'anoth', 'user', 'account']",Negative
"i want to use my other account, how can i switch them?","['want', 'use', 'account', 'switch']",Positive
"I would like to use my other user account, can I change them?","['would', 'like', 'use', 'user', 'account', 'chang']",Negative
where do i change to another online account?,"['chang', 'anoth', 'onlin', 'account']",Positive
can u ask an agent how i can switch to another profile?,"['u', 'ask', 'agent', 'switch', 'anoth', 'profil']",Positive
"I want to use my other account, can I switch them ?","['want', 'use', 'account', 'switch']",Positive
where do I change to another account?,"['chang', 'anoth', 'account']",Negative
ask an agent how i can switch to another user account,"['ask', 'agent', 'switch', 'anoth', 'user', 'account']",Positive
I need help switching to another profile,"['need', 'help', 'switch', 'anoth', 'profil']",Negative
"i want to use my other account, how do i change them?","['want', 'use', 'account', 'chang']",Neutral
"I want to use my other profile, help me switch them","['want', 'use', 'profil', 'help', 'switch']",Neutral
can u ask an agent how i could change to anothr fucking account ?,"['u', 'ask', 'agent', 'could', 'chang', 'anothr', 'fuck', 'account']",Positive
help me change to another online account,"['help', 'chang', 'anoth', 'onlin', 'account']",Positive
how do I switch to another user account?,"['switch', 'anoth', 'user', 'account']",Positive
"i want to use my other user account, how can i change them?","['want', 'use', 'user', 'account', 'chang']",Neutral
"I want to use my other profile, help me change them","['want', 'use', 'profil', 'help', 'chang']",Neutral
how to switch to another account,"['switch', 'anoth', 'account']",Positive
I want to switch to another online account,"['want', 'switch', 'anoth', 'onlin', 'account']",Negative
where do I change to anotyer user account?,"['chang', 'anoty', 'user', 'account']",Positive
how can I change to another online account?,"['chang', 'anoth', 'onlin', 'account']",Positive
"I want to use my other fucking account, could you change them?","['want', 'use', 'fuck', 'account', 'could', 'chang']",Neutral
I want to change to another account,"['want', 'chang', 'anoth', 'account']",Neutral
I want to change to another profile,"['want', 'chang', 'anoth', 'profil']",Neutral
