utterance,Utterance Token,RNN Sentiment,RNN Rating
tell me if there is a free phone no to contact Customer Service,"['tell', 'free', 'phone', 'contact', 'custom', 'servic']",Neutral,5
show me the phone number to contact customer service,"['show', 'phone', 'number', 'contact', 'custom', 'servic']",Positive,3
show me the free phone number of Client Service,"['show', 'free', 'phone', 'number', 'client', 'servic']",Neutral,1
show me the email address of Client Service,"['show', 'email', 'address', 'client', 'servic']",Neutral,1
can you show me the mail to contact Client Service?,"['show', 'mail', 'contact', 'client', 'servic']",Positive,1
"I want information, I need help calling uCstomer Service","['want', 'inform', 'need', 'help', 'call', 'ucstom', 'servic']",Negative,1
show me the number of Client Service,"['show', 'number', 'client', 'servic']",Positive,1
I want information and I want to call Client Service,"['want', 'inform', 'want', 'call', 'client', 'servic']",Neutral,1
i wanna know what the hours of customer setvice are,"['wan', 'na', 'know', 'hour', 'custom', 'setvic']",Positive,5
"i want information, can u speak with client service?","['want', 'inform', 'u', 'speak', 'client', 'servic']",Neutral,1
could u show me the no of client service?,"['could', 'u', 'show', 'client', 'servic']",Neutral,1
is Customer Support available?,"['custom', 'support', 'avail']",Positive,5
"I need information, can I talkto Customer Service?","['need', 'inform', 'talkto', 'custom', 'servic']",Negative,5
"id like information, could i speak with customer service, please?","['id', 'like', 'inform', 'could', 'speak', 'custom', 'servic', 'pleas']",Positive,5
"i want to know what the mail to contact customer service is, please","['want', 'know', 'mail', 'contact', 'custom', 'servic', 'pleas']",Neutral,1
"I have a question, talk to Client Service","['question', 'talk', 'client', 'servic']",Positive,1
"i want information, how do i talk to customer service?","['want', 'inform', 'talk', 'custom', 'servic']",Neutral,1
i need information about the fucking email address of the Client Service,"['need', 'inform', 'fuck', 'email', 'address', 'client', 'servic']",Negative,1
"i need information, help me send an email to customer service","['need', 'inform', 'help', 'send', 'email', 'custom', 'servic']",Negative,1
whats thd phone number of client service?,"['what', 'thd', 'phone', 'number', 'client', 'servic']",Positive,1
"I want information, can you call Customer Service?","['want', 'inform', 'call', 'custom', 'servic']",Neutral,1
"i want information, what do i have to do to contact customer service?","['want', 'inform', 'contact', 'custom', 'servic']",Neutral,1
can you speak with Client Service?,"['speak', 'client', 'servic']",Positive,5
"please, could you ask an agent what the fucking email address of the Client Service?","['pleas', 'could', 'ask', 'agent', 'fuck', 'email', 'address', 'client', 'servic']",Neutral,5
can u show me information about the email to contact Customer Support?,"['u', 'show', 'inform', 'email', 'contact', 'custom', 'support']",Neutral,1
"I want information, what do I have to do to speak with Client Service?","['want', 'inform', 'speak', 'client', 'servic']",Neutral,1
"can u ask an agent if i can send an email to client service, please?","['u', 'ask', 'agent', 'send', 'email', 'client', 'servic', 'pleas']",Negative,5
ask an agent what the number of Customer Service is,"['ask', 'agent', 'number', 'custom', 'servic']",Positive,5
can you tell me what the mail to contact Customer Support is ?,"['tell', 'mail', 'contact', 'custom', 'support']",Positive,1
what's the email of Customer Service?,"['email', 'custom', 'servic']",Positive,5
can you tell me what the email address of customer support is?,"['tell', 'email', 'address', 'custom', 'support']",Negative,1
"please, I want to know what the email of the Client Service is","['pleas', 'want', 'know', 'email', 'client', 'servic']",Positive,5
I want to know what the free no of Customer Support is,"['want', 'know', 'free', 'custom', 'support']",Neutral,1
"tell me what the email of the Customer Support is, please","['tell', 'email', 'custom', 'support', 'pleas']",Neutral,5
"I have a question, how can I contact Customer Service?","['question', 'contact', 'custom', 'servic']",Positive,5
"I want information, can I contact Client Service?","['want', 'inform', 'contact', 'client', 'servic']",Neutral,1
can you find information about the fucking email address of the Customer Service?,"['find', 'inform', 'fuck', 'email', 'address', 'custom', 'servic']",Positive,5
show me the mail address to contact Client Service,"['show', 'mail', 'address', 'contact', 'client', 'servic']",Neutral,1
i want to see the email address of client service,"['want', 'see', 'email', 'address', 'client', 'servic']",Neutral,1
"i want information, how can i contact client service?","['want', 'inform', 'contact', 'client', 'servic']",Neutral,1
what's the free number of Client Service?,"['free', 'number', 'client', 'servic']",Positive,5
can you ask an agent if Customer Service is available?,"['ask', 'agent', 'custom', 'servic', 'avail']",Positive,5
help me talk to Customer Support,"['help', 'talk', 'custom', 'support']",Negative,1
"I have a question, can I send an email to Customer Support?","['question', 'send', 'email', 'custom', 'support']",Negative,1
"I need information, what can I do to talk to Customer Service?","['need', 'inform', 'talk', 'custom', 'servic']",Negative,1
"i have a question, what should i do to send an email to customer service?","['question', 'send', 'email', 'custom', 'servic']",Negative,1
"i need information, what do i have to do to speak with customer service?","['need', 'inform', 'speak', 'custom', 'servic']",Negative,1
"I want information, can you speak with Customer Support?","['want', 'inform', 'speak', 'custom', 'support']",Neutral,1
"i want information, can i contact customer service ?","['want', 'inform', 'contact', 'custom', 'servic']",Neutral,1
"I have a question, how do I talk to Client Service?","['question', 'talk', 'client', 'servic']",Positive,1
"I have a question, what do I have to do to call Client Service?","['question', 'call', 'client', 'servic']",Positive,1
can you show me information about the email of the Customer Service?,"['show', 'inform', 'email', 'custom', 'servic']",Neutral,1
can u  show me the email address of customer service ?,"['u', 'show', 'email', 'address', 'custom', 'servic']",Neutral,1
"I need information, send an email to Customer Support","['need', 'inform', 'send', 'email', 'custom', 'support']",Negative,5
can you tell me what the phone number to contact Customer Service is?,"['tell', 'phone', 'number', 'contact', 'custom', 'servic']",Neutral,1
I want to know what the email address of Customer Service is,"['want', 'know', 'email', 'address', 'custom', 'servic']",Neutral,1
can you show me the email of Customer Service?,"['show', 'email', 'custom', 'servic']",Neutral,1
whats the phone number to contact Customer Service?,"['what', 'phone', 'number', 'contact', 'custom', 'servic']",Positive,5
can you hsow me the email of the Customer Sjpport?,"['hsow', 'email', 'custom', 'sjpport']",Positive,5
"I have a question, can you send an email to Client Service?","['question', 'send', 'email', 'client', 'servic']",Negative,1
tell me what the free phone number of Custoomer Support is,"['tell', 'free', 'phone', 'number', 'custoom', 'support']",Positive,5
I want to know what the free phone number of Customer Support is,"['want', 'know', 'free', 'phone', 'number', 'custom', 'support']",Neutral,1
"I have a question , what should I do to send an email to Client Service?","['question', 'send', 'email', 'client', 'servic']",Negative,1
can you tell me if there is a free number to contact Customer Service?,"['tell', 'free', 'number', 'contact', 'custom', 'servic']",Neutral,5
ask an agent how I could talk to fucking Client Service,"['ask', 'agent', 'could', 'talk', 'fuck', 'client', 'servic']",Positive,5
I need information and I want to call Customer Service,"['need', 'inform', 'want', 'call', 'custom', 'servic']",Neutral,1
can you show me information about the mail of the Client Service?,"['show', 'inform', 'mail', 'client', 'servic']",Positive,1
"ask an agent how i could speak with fucking client service, please","['ask', 'agent', 'could', 'speak', 'fuck', 'client', 'servic', 'pleas']",Positive,5
show me the mail to contact Custome Support,"['show', 'mail', 'contact', 'custom', 'support']",Positive,1
"please, ask an agent what the fucking phone number to contact client service is","['pleas', 'ask', 'agent', 'fuck', 'phone', 'number', 'contact', 'client', 'servic']",Neutral,5
I want to know what the email to contact Client Service is,"['want', 'know', 'email', 'contact', 'client', 'servic']",Neutral,1
"I want information, how do I call Customer Support?","['want', 'inform', 'call', 'custom', 'support']",Neutral,1
"i need information, can u talk to fucking client service?","['need', 'inform', 'u', 'talk', 'fuck', 'client', 'servic']",Positive,1
"please, could you show me the mail of Client Service?","['pleas', 'could', 'show', 'mail', 'client', 'servic']",Positive,1
"i need information, how can i speak with customer support?","['need', 'inform', 'speak', 'custom', 'support']",Positive,1
how to talk to Customer Support,"['talk', 'custom', 'support']",Negative,4
"can you give me information about the fucking mail address to contact Client Service, please?","['give', 'inform', 'fuck', 'mail', 'address', 'contact', 'client', 'servic', 'pleas']",Negative,5
can you tell me the phone number to contact Customer Support?,"['tell', 'phone', 'number', 'contact', 'custom', 'support']",Neutral,1
"I want information, what can I do to send an email to Client Service?","['want', 'inform', 'send', 'email', 'client', 'servic']",Negative,1
can u ask an agent what the free phone number to contact client service is?,"['u', 'ask', 'agent', 'free', 'phone', 'number', 'contact', 'client', 'servic']",Positive,5
"I have a question, how can I send an email to Customer Support?","['question', 'send', 'email', 'custom', 'support']",Negative,1
I want information and I want to contact  Customer Support,"['want', 'inform', 'want', 'contact', 'custom', 'support']",Neutral,1
"I want information, what can I do to speak with Client Service?","['want', 'inform', 'speak', 'client', 'servic']",Neutral,1
can you tell me if there is a free number to contact Client Service?,"['tell', 'free', 'number', 'contact', 'client', 'servic']",Neutral,5
"I need information, how can I contact Client Service?","['need', 'inform', 'contact', 'client', 'servic']",Negative,1
"I have a question, I need help speaking with Client Service","['question', 'need', 'help', 'speak', 'client', 'servic']",Negative,1
can you tell me what the number of customer service is?,"['tell', 'number', 'custom', 'servic']",Positive,5
what's the email of Client Service?,"['email', 'client', 'servic']",Positive,5
"can u show me the fucking email address of the Client Service, please?","['u', 'show', 'fuck', 'email', 'address', 'client', 'servic', 'pleas']",Neutral,1
"please, can you ask an agent what the mail to contact Client Service is?","['pleas', 'ask', 'agent', 'mail', 'contact', 'client', 'servic']",Positive,5
show me the free number to contact Client Service,"['show', 'free', 'number', 'contact', 'client', 'servic']",Neutral,1
"I want information and I would like to contact Client Service, please","['want', 'inform', 'would', 'like', 'contact', 'client', 'servic', 'pleas']",Negative,5
"I need information, help me contact Client Service","['need', 'inform', 'help', 'contact', 'client', 'servic']",Negative,1
can you tell me the email address to contact Client Service?,"['tell', 'email', 'address', 'contact', 'client', 'servic']",Neutral,1
show me the email of the Client Service,"['show', 'email', 'client', 'servic']",Neutral,1
I want to see the email address of Client Service,"['want', 'see', 'email', 'address', 'client', 'servic']",Neutral,1
"I want information , I need help speaking with Customer Service","['want', 'inform', 'need', 'help', 'speak', 'custom', 'servic']",Negative,1
"I would like to see the fucking email to contact Customer Support, please","['would', 'like', 'see', 'fuck', 'email', 'contact', 'custom', 'support', 'pleas']",Negative,1
"I have a question, can I call Customer Support?","['question', 'call', 'custom', 'support']",Negative,4
can you show me the email address of Customer Support?,"['show', 'email', 'address', 'custom', 'support']",Neutral,1
can  you send an email to Customer Support?,"['send', 'email', 'custom', 'support']",Negative,1
how can I send an email to Cutsomer Support?,"['send', 'email', 'cutsom', 'support']",Negative,5
"I want information, what do I have to do to send an email to Customer Support?","['want', 'inform', 'send', 'email', 'custom', 'support']",Negative,1
I want to know what the mail of Client Service is,"['want', 'know', 'mail', 'client', 'servic']",Neutral,1
"I want information, what can I do to call Customer Service?","['want', 'inform', 'call', 'custom', 'servic']",Neutral,1
could u show me the mail of client service?,"['could', 'u', 'show', 'mail', 'client', 'servic']",Negative,1
i wanna know what the number of client service is,"['wan', 'na', 'know', 'number', 'client', 'servic']",Positive,1
could u ask an agent what the free phone number to contact customer support is?,"['could', 'u', 'ask', 'agent', 'free', 'phone', 'number', 'contact', 'custom', 'support']",Negative,1
i wanna know what the phone number to contact customer support is,"['wan', 'na', 'know', 'phone', 'number', 'contact', 'custom', 'support']",Positive,1
how can I ocntact Customer Support?,"['ocntact', 'custom', 'support']",Negative,4
"I have a question, what can I do to talk to Client Service?","['question', 'talk', 'client', 'servic']",Positive,1
"I need information, how do I contact Custgomer Servic?","['need', 'inform', 'contact', 'custgom', 'servic']",Negative,1
can you show me information about the email adsdress of the Customer Service?,"['show', 'inform', 'email', 'adsdress', 'custom', 'servic']",Neutral,1
could you tell me what the free number of Client Service is?,"['could', 'tell', 'free', 'number', 'client', 'servic']",Neutral,1
"I want information , contact Customer Support","['want', 'inform', 'contact', 'custom', 'support']",Positive,3
can you tell me what the free no to contact Client Service is?,"['tell', 'free', 'contact', 'client', 'servic']",Positive,5
"I would like information, can you contact Customer Service?","['would', 'like', 'inform', 'contact', 'custom', 'servic']",Negative,1
I need information and I want to contact Client Service,"['need', 'inform', 'want', 'contact', 'client', 'servic']",Neutral,5
tell me what the email to contact Customer Support is,"['tell', 'email', 'contact', 'custom', 'support']",Negative,1
i want to know what the mail of Customer Service is,"['want', 'know', 'mail', 'custom', 'servic']",Neutral,1
can u ask an agent what the mail of client service is?,"['u', 'ask', 'agent', 'mail', 'client', 'servic']",Positive,5
"Ihave a question, what do I have to do to contact Customer Support?","['ihav', 'question', 'contact', 'custom', 'support']",Negative,4
"I want informatoin, how can I send an email to Customer Support?","['want', 'informatoin', 'send', 'email', 'custom', 'support']",Negative,1
"please, could u find information about the email address to contact Customer Service?","['pleas', 'could', 'u', 'find', 'inform', 'email', 'address', 'contact', 'custom', 'servic']",Negative,5
I have a question and I want to call Customer Support,"['question', 'want', 'call', 'custom', 'support']",Positive,5
can u give me informztion about the email address of the Customer Support?,"['u', 'give', 'informzt', 'email', 'address', 'custom', 'support']",Negative,1
can youshow me the email of the Client Service?,"['youshow', 'email', 'client', 'servic']",Positive,5
I need information and I want to senjd an email to Customer Support,"['need', 'inform', 'want', 'senjd', 'email', 'custom', 'support']",Neutral,3
i need information and id like to speak with fucking client service,"['need', 'inform', 'id', 'like', 'speak', 'fuck', 'client', 'servic']",Negative,4
speak with Client Service,"['speak', 'client', 'servic']",Positive,5
can you tell me what the mail address of the Customer Support is?,"['tell', 'mail', 'address', 'custom', 'support']",Positive,1
i need information and i want to send an email to client service,"['need', 'inform', 'want', 'send', 'email', 'client', 'servic']",Negative,5
"I needinformation about the fucking mail address to contact Client Service, please","['needinform', 'fuck', 'mail', 'address', 'contact', 'client', 'servic', 'pleas']",Positive,5
i wanna see the number to contact client service,"['wan', 'na', 'see', 'number', 'contact', 'client', 'servic']",Negative,1
can I esnd an email to Client Service?,"['esnd', 'email', 'client', 'servic']",Positive,5
"I want information, what do I have to do to contact Customer Service?","['want', 'inform', 'contact', 'custom', 'servic']",Neutral,1
"I need information, what should I do to call Client Service?","['need', 'inform', 'call', 'client', 'servic']",Negative,1
how do I call Client Service?,"['call', 'client', 'servic']",Positive,5
could u ask an agent what the fucking number to contact customer service is?,"['could', 'u', 'ask', 'agent', 'fuck', 'number', 'contact', 'custom', 'servic']",Negative,1
show me the email address of Customer Service,"['show', 'email', 'address', 'custom', 'servic']",Neutral,1
i want to see the mail to contact Customer Service,"['want', 'see', 'mail', 'contact', 'custom', 'servic']",Neutral,1
i wanna see the mail address of the Customer Support,"['wan', 'na', 'see', 'mail', 'address', 'custom', 'support']",Neutral,1
is there a free number to contact client service?,"['free', 'number', 'contact', 'client', 'servic']",Positive,5
how do I snd an email to Customer Support?,"['snd', 'email', 'custom', 'support']",Negative,5
"I have a question, what do I have to do to talk to Customer Support?","['question', 'talk', 'custom', 'support']",Negative,4
"I need information, can I speak with Customer Support?","['need', 'inform', 'speak', 'custom', 'support']",Positive,1
"I want information, call Customer Support","['want', 'inform', 'call', 'custom', 'support']",Neutral,1
what's the free number to contact Customer Service?,"['free', 'number', 'contact', 'custom', 'servic']",Positive,5
"I have a question, can I send an email to Client Service?","['question', 'send', 'email', 'client', 'servic']",Negative,1
what's the free phone number of Client Service?,"['free', 'phone', 'number', 'client', 'servic']",Positive,5
tell me what the email of Client Service is,"['tell', 'email', 'client', 'servic']",Positive,1
help me send an email to fucking customer service,"['help', 'send', 'email', 'fuck', 'custom', 'servic']",Negative,1
"could you tell me what the free number of Customer Support is, please?","['could', 'tell', 'free', 'number', 'custom', 'support', 'pleas']",Neutral,1
"i want infofmation, send an email to client service","['want', 'infofm', 'send', 'email', 'client', 'servic']",Neutral,1
ask an agent what hte email address to contact Customer Support is,"['ask', 'agent', 'hte', 'email', 'address', 'contact', 'custom', 'support']",Positive,5
can u ask an agent what the email address of the Customer Support?,"['u', 'ask', 'agent', 'email', 'address', 'custom', 'support']",Positive,1
can you tell me what the hours of Customer Service are?,"['tell', 'hour', 'custom', 'servic']",Positive,5
tell me what the mail address of Client Service is,"['tell', 'mail', 'address', 'client', 'servic']",Positive,5
"i have a question, what should i do to talk to customer service?","['question', 'talk', 'custom', 'servic']",Positive,5
can you tell me what  the phone no to contact Client Service is?,"['tell', 'phone', 'contact', 'client', 'servic']",Neutral,1
can I contact Client Service?,"['contact', 'client', 'servic']",Positive,5
"I want information, help me send an email to Customer Service","['want', 'inform', 'help', 'send', 'email', 'custom', 'servic']",Negative,1
can you tell me the mail address ofCustomer Service?,"['tell', 'mail', 'address', 'ofcustom', 'servic']",Positive,5
"please, i wanna know what the email address to contact customer service is","['pleas', 'wan', 'na', 'know', 'email', 'address', 'contact', 'custom', 'servic']",Positive,5
contact customer service,"['contact', 'custom', 'servic']",Positive,5
"please, could u show me the mail address of customer service?","['pleas', 'could', 'u', 'show', 'mail', 'address', 'custom', 'servic']",Positive,1
i need information and i want to contact client service,"['need', 'inform', 'want', 'contact', 'client', 'servic']",Neutral,5
i want to see the email to contact Customer Support,"['want', 'see', 'email', 'contact', 'custom', 'support']",Neutral,1
"could you show me the fucking mail address of Customer Service, please?","['could', 'show', 'fuck', 'mail', 'address', 'custom', 'servic', 'pleas']",Negative,1
i wanna know what the email address of the Customer Support is,"['wan', 'na', 'know', 'email', 'address', 'custom', 'support']",Positive,1
"I want information, could you speak with Customer Support?","['want', 'inform', 'could', 'speak', 'custom', 'support']",Negative,1
"I need information, what should I do to contact Client Service?","['need', 'inform', 'contact', 'client', 'servic']",Negative,1
I want to talk to Customer Support,"['want', 'talk', 'custom', 'support']",Neutral,3
tell me what the free number of Client Service is,"['tell', 'free', 'number', 'client', 'servic']",Positive,5
"could u show me information about the mail of the Client Service, please?","['could', 'u', 'show', 'inform', 'mail', 'client', 'servic', 'pleas']",Negative,1
i want to see the email address to contact customer service,"['want', 'see', 'email', 'address', 'contact', 'custom', 'servic']",Neutral,1
"I want information, what can I do to speak with Customer Support?","['want', 'inform', 'speak', 'custom', 'support']",Neutral,1
can you tell me what the free phone number to contact Customer Service is?,"['tell', 'free', 'phone', 'number', 'contact', 'custom', 'servic']",Neutral,5
can you tell me the number to contact customer support?,"['tell', 'number', 'contact', 'custom', 'support']",Negative,1
what'sthe email of the Customer Service?,"['email', 'custom', 'servic']",Positive,5
"could you show me information about the email address of the Client Service, please?","['could', 'show', 'inform', 'email', 'address', 'client', 'servic', 'pleas']",Negative,1
tell me what the free number of Customer Service is,"['tell', 'free', 'number', 'custom', 'servic']",Positive,5
"I want information, can you speak with Customer Service?","['want', 'inform', 'speak', 'custom', 'servic']",Neutral,1
what's the free number of Customer Support?,"['free', 'number', 'custom', 'support']",Positive,5
can you show me information about the mail address of the Client Service?,"['show', 'inform', 'mail', 'address', 'client', 'servic']",Positive,1
can you show me the fucking free phone number of Customer Support?,"['show', 'fuck', 'free', 'phone', 'number', 'custom', 'support']",Neutral,3
"ask an agent what the fucking email address to contact Customr Support is, please","['ask', 'agent', 'fuck', 'email', 'address', 'contact', 'customr', 'support', 'pleas']",Negative,5
"I need information , what can I do to send an email to Customer Support?","['need', 'inform', 'send', 'email', 'custom', 'support']",Negative,5
what's the free phone number of Customer Support?,"['free', 'phone', 'number', 'custom', 'support']",Positive,5
can you tell me the email address to contact Customer Service?,"['tell', 'email', 'address', 'contact', 'custom', 'servic']",Neutral,5
can you tell me the email to contact Customer Support?,"['tell', 'email', 'contact', 'custom', 'support']",Negative,1
i want to know what the free numbr of client service is,"['want', 'know', 'free', 'numbr', 'client', 'servic']",Neutral,1
information about the email of the Client Service,"['inform', 'email', 'client', 'servic']",Positive,5
"i have a question, can i speak with client service?","['question', 'speak', 'client', 'servic']",Negative,1
"I need information and I would like to call Customer Service, please","['need', 'inform', 'would', 'like', 'call', 'custom', 'servic', 'pleas']",Negative,5
"I have a question, can you send an email to Customer Service?","['question', 'send', 'email', 'custom', 'servic']",Negative,1
"I have a question, what can I do to call Customer Service?","['question', 'call', 'custom', 'servic']",Positive,5
I want information about the email address of the Customer Service,"['want', 'inform', 'email', 'address', 'custom', 'servic']",Neutral,1
I want to see the free phone number to contact Customer Service,"['want', 'see', 'free', 'phone', 'number', 'contact', 'custom', 'servic']",Neutral,1
"I have a question, how can I talk to Customer Support?","['question', 'talk', 'custom', 'support']",Negative,4
"i have a question, can u speak with client service?","['question', 'u', 'speak', 'client', 'servic']",Negative,1
"i want information, how do i talk to client service?","['want', 'inform', 'talk', 'client', 'servic']",Neutral,1
I want to see the mail to contact Customer Support,"['want', 'see', 'mail', 'contact', 'custom', 'support']",Neutral,1
"can you tell me the mail to contact Client Service, please?","['tell', 'mail', 'contact', 'client', 'servic', 'pleas']",Positive,5
send an email to Client Service,"['send', 'email', 'client', 'servic']",Negative,5
ask an agent how to contact customer support,"['ask', 'agent', 'contact', 'custom', 'support']",Positive,5
how can i talk to client service?,"['talk', 'client', 'servic']",Positive,1
"I want information, how do I send an email to Customer Service?","['want', 'inform', 'send', 'email', 'custom', 'servic']",Negative,1
could u ask an agent what the mail to contact customer service is?,"['could', 'u', 'ask', 'agent', 'mail', 'contact', 'custom', 'servic']",Positive,1
what's the mail of Client Service?,"['mail', 'client', 'servic']",Positive,3
can you send an email to Customer Service?,"['send', 'email', 'custom', 'servic']",Negative,5
i wanna know what the free phone number to contact Customer Service is,"['wan', 'na', 'know', 'free', 'phone', 'number', 'contact', 'custom', 'servic']",Positive,1
"please, can you show me information about the mail of the Customer Service?","['pleas', 'show', 'inform', 'mail', 'custom', 'servic']",Neutral,1
can you tell me what the free phone number of customer support is?,"['tell', 'free', 'phone', 'number', 'custom', 'support']",Neutral,1
what's the free phone number to contact Client Service?,"['free', 'phone', 'number', 'contact', 'client', 'servic']",Neutral,5
show me the mail address to contact Customer Service,"['show', 'mail', 'address', 'contact', 'custom', 'servic']",Neutral,1
i  wanna speak with customer support,"['wan', 'na', 'speak', 'custom', 'support']",Negative,5
i need information and i want to spaek with client service,"['need', 'inform', 'want', 'spaek', 'client', 'servic']",Neutral,5
"I have a question , what do I have to do to call Customer Support?","['question', 'call', 'custom', 'support']",Negative,4
tell me what the mail of Customer Support is,"['tell', 'mail', 'custom', 'support']",Positive,1
"I have a question, how can I send an emaul to Customer Service?","['question', 'send', 'emaul', 'custom', 'servic']",Negative,1
I have a question and I want to contact Client Service,"['question', 'want', 'contact', 'client', 'servic']",Neutral,1
"I have a question, talk to Customer Service","['question', 'talk', 'custom', 'servic']",Positive,5
"I need information, help me talk to Customer Service","['need', 'inform', 'help', 'talk', 'custom', 'servic']",Negative,1
"I have a question, speak with Customer Service","['question', 'speak', 'custom', 'servic']",Positive,5
ask an agent how i can send an email to customer service,"['ask', 'agent', 'send', 'email', 'custom', 'servic']",Negative,5
tell me what the phone number to contact Customer Service is,"['tell', 'phone', 'number', 'contact', 'custom', 'servic']",Neutral,1
"I have a question, can I contact Customer Service?","['question', 'contact', 'custom', 'servic']",Positive,5
I want to see the free phone number of Customer Service,"['want', 'see', 'free', 'phone', 'number', 'custom', 'servic']",Neutral,1
i have a question and i wanna call client service,"['question', 'wan', 'na', 'call', 'client', 'servic']",Negative,1
"I have a question, what should I do to call Customer Service?","['question', 'call', 'custom', 'servic']",Positive,5
"can you tell me what the fucking phone number to contact Client Service is, please?","['tell', 'fuck', 'phone', 'number', 'contact', 'client', 'servic', 'pleas']",Positive,5
"id like information, what can i do to contact client service?","['id', 'like', 'inform', 'contact', 'client', 'servic']",Negative,5
can you tell me what the free phone number of Customer Suupport is?,"['tell', 'free', 'phone', 'number', 'custom', 'suupport']",Neutral,5
can u ask an agent if there is a free phone number to contact client service?,"['u', 'ask', 'agent', 'free', 'phone', 'number', 'contact', 'client', 'servic']",Positive,5
what's the phone numner of Client Service?,"['phone', 'numner', 'client', 'servic']",Positive,1
"I want information, what do I have to do to call Customer Service?","['want', 'inform', 'call', 'custom', 'servic']",Neutral,1
i want to know what the number to contact customer support is,"['want', 'know', 'number', 'contact', 'custom', 'support']",Neutral,1
tell me what the phone no of Customer Service is,"['tell', 'phone', 'custom', 'servic']",Neutral,5
"I want information, talk to Customer Support","['want', 'inform', 'talk', 'custom', 'support']",Positive,1
"i need information, what do i have to do to speak with customer support?","['need', 'inform', 'speak', 'custom', 'support']",Positive,1
"I have a question, how do I speak with Customer Service?","['question', 'speak', 'custom', 'servic']",Positive,5
"ask an agent what the fucking phone number of Customer Service is, please","['ask', 'agent', 'fuck', 'phone', 'number', 'custom', 'servic', 'pleas']",Positive,5
"please, can you tell me what the email address of client service is?","['pleas', 'tell', 'email', 'address', 'client', 'servic']",Neutral,5
show me the email of the Customer Support,"['show', 'email', 'custom', 'support']",Neutral,1
"I want information, what should I do to call Customer Service?","['want', 'inform', 'call', 'custom', 'servic']",Neutral,1
can I speak wkth Client Service?,"['speak', 'wkth', 'client', 'servic']",Positive,5
can I call Customer Service?,"['call', 'custom', 'servic']",Positive,5
i havd a question and i wanna speak with customert support,"['havd', 'question', 'wan', 'na', 'speak', 'customert', 'support']",Negative,5
"I need information, send an email to Client Service","['need', 'inform', 'send', 'email', 'client', 'servic']",Negative,5
"I have a question, speak with Customer Support","['question', 'speak', 'custom', 'support']",Negative,4
"I have a question, help me send an email to Customer Service","['question', 'help', 'send', 'email', 'custom', 'servic']",Negative,1
could u ask an agent what the hours of Customer Serviceare?,"['could', 'u', 'ask', 'agent', 'hour', 'custom', 'servicear']",Negative,2
I want informastion and I want to call Customer Support,"['want', 'informast', 'want', 'call', 'custom', 'support']",Neutral,1
whats the mail to contact Customer Service?,"['what', 'mail', 'contact', 'custom', 'servic']",Positive,3
"please, can u ask an agent what the fucking phone number of Customer Service is?","['pleas', 'u', 'ask', 'agent', 'fuck', 'phone', 'number', 'custom', 'servic']",Positive,5
"i need information, how do i call customer support?","['need', 'inform', 'call', 'custom', 'support']",Positive,4
tell me what the free phone number to contact Customer Service is,"['tell', 'free', 'phone', 'number', 'contact', 'custom', 'servic']",Neutral,5
I need  help speaking with Customer Service,"['need', 'help', 'speak', 'custom', 'servic']",Negative,1
help me speak with Customer Service,"['help', 'speak', 'custom', 'servic']",Negative,1
"I have a question, what can I do to speak with Client Service?","['question', 'speak', 'client', 'servic']",Negative,1
"I need information, can I call Customer Support?","['need', 'inform', 'call', 'custom', 'support']",Positive,4
could you tell me the fucking phone number of customer support?,"['could', 'tell', 'fuck', 'phone', 'number', 'custom', 'support']",Positive,1
"could u show me the free phone number of customer service, please?","['could', 'u', 'show', 'free', 'phone', 'number', 'custom', 'servic', 'pleas']",Negative,1
"i need information, how could i contact customer service?","['need', 'inform', 'could', 'contact', 'custom', 'servic']",Positive,5
"please, i want to know what the fucking email address of client service is","['pleas', 'want', 'know', 'fuck', 'email', 'address', 'client', 'servic']",Positive,5
tell me what the email of Customer Service is,"['tell', 'email', 'custom', 'servic']",Positive,5
"please, could u ask an agent if i could send an email to client service?","['pleas', 'could', 'u', 'ask', 'agent', 'could', 'send', 'email', 'client', 'servic']",Negative,5
is there a free number to contact Client Service?,"['free', 'number', 'contact', 'client', 'servic']",Positive,5
"i need information, how can i talk to client service?","['need', 'inform', 'talk', 'client', 'servic']",Negative,1
"I need information, how do I call Customer Support?","['need', 'inform', 'call', 'custom', 'support']",Positive,4
i want to know what the mail address to contact customer service is,"['want', 'know', 'mail', 'address', 'contact', 'custom', 'servic']",Neutral,1
can you tell me what the mail of the Customer Service is?,"['tell', 'mail', 'custom', 'servic']",Positive,1
I want to see the hours of Customer Support,"['want', 'see', 'hour', 'custom', 'support']",Neutral,1
"id like information and i want to send an email to fucking customer support, please","['id', 'like', 'inform', 'want', 'send', 'email', 'fuck', 'custom', 'support', 'pleas']",Negative,1
"please, show me the mail address of client service","['pleas', 'show', 'mail', 'address', 'client', 'servic']",Neutral,1
can u ask an agent how to call customer service?,"['u', 'ask', 'agent', 'call', 'custom', 'servic']",Positive,1
whats the mail address to contact client service?,"['what', 'mail', 'address', 'contact', 'client', 'servic']",Positive,3
"i need information, what can i do to contact customer support?","['need', 'inform', 'contact', 'custom', 'support']",Positive,1
i want to see the email to contact client service,"['want', 'see', 'email', 'contact', 'client', 'servic']",Neutral,1
i need information about the mail address of the Client Service,"['need', 'inform', 'mail', 'address', 'client', 'servic']",Positive,1
